marca;motor;preco;massa[g];link;diametro;passo;pa;Throttle100Pot[W];Throttle100tracao0[g];T100tracao9;T100tracao18;T100tracao27;T100tracao36;T100tracao45;T100tracao54;T100tracao63;T100tracao72;T100tracao81;T100tracao90;T100tracao99;T100tracao108;T100tracao117;T100tracao126;T100tracao135;Throttle100Ef[%];Pot≈600Throttle[%];Pot≈600Pot[W];Pot≈600Ef[%];Pot≈600Tracao[g]
T-Motor;T-Motor V505-260;;-;;20;12.0;2;N/A;5811;5776;5670;5494;5248;4932;4545;4088;3561;2963;2295;1556;748;-;-;-;85.9;95;560.9;85.9;1592
T-Motor;T-Motor U7-280 V2;;965;;20;11.0;2;1084.5;5646;5609;5499;5316;5059;5059;5059;4326;4326;4326;3849;1208;1979;-;-;-;88.2;96;581.2;88.2;1592
T-Motor;T-Motor MN505-S KV320;;998;;18;10.0;2;1101.8;5778;5749;5660;5512;5305;5039;4714;4330;3886;3384;2822;2201;1521;782;-;-;87;91;593.7;86.9;1592
T-Motor;T-Motor U7-280 V2;;965;;20;12.0;2;1192.6;5955;5920;5814;5638;5392;5076;4689;4232;3705;3107;2439;1700;892;13;-;-;87.4;96;629.7;87.4;1740
T-Motor;T-Motor MN601-S KV320;;998;;18;10.0;2;1157.2;5767;5737;5649;5501;5294;5028;4703;4318;3875;3372;2811;2190;1510;771;-;-;88.3;91;585.2;88.2;1592
T-Motor;T-Motor MN505-S KV320;;988;;18;11.0;2;1180.8;6184;6156;6071;5930;5732;5478;5168;4801;4378;3898;3362;2769;2120;1415;653;-;87.2;90;633.1;87.1;1740
T-Motor;T-Motor MN505-S KV320;;965;;19;9.0;2;1266.3;5923;5888;5782;5605;5358;5040;4651;4192;3662;3061;2390;1648;836;-;-;-;87;90;572.3;86.9;1451
T-Motor;T-Motor MN601-S KV320;;965;;19;9.0;2;1278.6;5909;5874;5768;5591;5344;5026;4637;4178;3648;3048;2376;1635;822;-;-;-;88.2;90;563.9;88.2;1451
T-Motor;T-Motor MN601-S KV320;;988;;18;11.0;2;1266.4;6170;6142;6057;5916;5718;5464;5154;4787;4364;3884;3348;2755;2106;1401;639;-;88.2;90;625.2;88.2;1740
SunnySky;SunnySky X6212S-300;;988;;19;10.0;2;1254.1;5635;5601;5500;5331;5094;4790;4419;3980;3473;2899;2258;1548;772;-;-;-;84.5;96;629.5;84.5;1592
T-Motor;T-Motor MN505-S KV320;;1056;;20;8.0;2;1162.6;5978;5936;5811;5603;5311;4936;4478;3936;3311;2602;1811;935;-;-;-;-;86.9;95;635.9;86.9;1451
T-Motor;T-Motor MN505-S KV320;;965;;19;10.0;2;1348.6;6370;6336;6235;6066;5830;5526;5154;4715;4209;3635;2993;2284;1507;663;-;-;87.2;89;610.9;87.1;1592
T-Motor;T-Motor MN601-S KV320;;965;;20;8.0;2;1363.2;5962;5921;5796;5587;5296;4921;4462;3920;3295;2587;1795;920;-;-;-;-;88.2;95;626.6;88.2;1451
T-Motor;T-Motor MN601-S KV320;;988;;19;10.0;2;1336.0;6353;6320;6218;6049;5813;5509;5138;4699;4192;3618;2976;2267;1490;646;-;-;88.2;89;603.1;88.2;1592
SunnySky;SunnySky X6212S-300;;988;;20;9.0;2;1350.6;5728;5688;5568;5369;5089;4730;4290;3771;3172;2493;1734;895;-;-;-;-;84.4;95;605.8;84.4;1451
SunnySky;SunnySky X6212S-300;;1056;;19;11.0;2;1234.0;6012;5979;5882;5721;5495;5204;4849;4429;3945;3395;2782;2104;1361;553;-;-;84.7;90;588;84.6;1592
T-Motor;T-Motor MN605-S KV320;;1056;;18;9.0;2;1230.7;5776;5745;5652;5497;5280;5001;4660;4257;3792;3265;2676;2025;1312;537;-;-;88.2;95;629.8;88.2;1592
